epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,230.318,0.68034,0.24976,0.00244,0.97997,0.99847,0.9947,0.84292,0.67827,0.21253,0.00326,0.0011288,0.0011288,0.0011288
68,233.58,0.71314,0.26271,0.00265,0.97995,0.99768,0.9947,0.84606,0.65293,0.20263,0.003,0.0011156,0.0011156,0.0011156
69,236.828,0.65273,0.24891,0.00246,1,0.98642,0.99442,0.8837,0.53933,0.18836,0.00242,0.0011024,0.0011024,0.0011024
70,239.692,0.69637,0.24646,0.00261,0.9895,0.97959,0.99431,0.8427,0.63,0.20044,0.00278,0.0010892,0.0010892,0.0010892
71,242.581,0.6646,0.24954,0.00243,0.98974,0.98466,0.9945,0.87934,0.54295,0.17791,0.00243,0.001076,0.001076,0.001076
72,245.474,0.67285,0.23962,0.00246,0.98979,0.98927,0.99375,0.85752,0.59567,0.19236,0.00287,0.0010628,0.0010628,0.0010628
73,248.28,0.70344,0.26458,0.00244,0.98804,0.9898,0.99439,0.84841,0.64693,0.19257,0.00317,0.0010496,0.0010496,0.0010496
74,251.133,0.68089,0.24882,0.00245,0.99879,1,0.995,0.89262,0.51031,0.15291,0.00231,0.0010364,0.0010364,0.0010364
75,253.962,0.65821,0.24255,0.00245,1,0.98961,0.9949,0.83451,0.68553,0.19714,0.00308,0.0010232,0.0010232,0.0010232
76,257.059,0.67116,0.24712,0.00252,0.98976,0.98629,0.9944,0.87447,0.57026,0.18958,0.00253,0.00101,0.00101,0.00101
77,260.256,0.64862,0.2361,0.00235,0.99962,0.97959,0.99432,0.85585,0.62215,0.19368,0.00273,0.0009968,0.0009968,0.0009968
78,263.572,0.67234,0.23692,0.0024,0.98559,0.9898,0.9948,0.87177,0.57684,0.18629,0.00265,0.0009836,0.0009836,0.0009836
79,266.507,0.68974,0.24112,0.00244,0.97932,1,0.9947,0.87105,0.54264,0.17543,0.00233,0.0009704,0.0009704,0.0009704
80,269.592,0.64809,0.23426,0.00234,1,0.98925,0.99451,0.86406,0.59464,0.18993,0.0027,0.0009572,0.0009572,0.0009572
81,272.536,0.6824,0.24019,0.00242,0.98989,0.99941,0.9948,0.8407,0.65365,0.18875,0.003,0.000944,0.000944,0.000944
82,275.56,0.68021,0.22152,0.00239,0.99383,0.96939,0.99411,0.87529,0.57563,0.19097,0.00261,0.0009308,0.0009308,0.0009308
83,278.693,0.65037,0.22756,0.00233,0.98964,0.9898,0.99407,0.85812,0.58846,0.18623,0.00272,0.0009176,0.0009176,0.0009176
84,281.672,0.67211,0.23622,0.00242,0.9932,0.9898,0.9947,0.88313,0.52612,0.1671,0.00228,0.0009044,0.0009044,0.0009044
