epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,138.236,0.73059,0.31285,0.00262,0.96214,0.99661,0.99153,0.83586,0.67093,0.25809,0.00333,0.0010364,0.0010364,0.0010364
75,139.99,0.71932,0.29889,0.00256,0.94362,0.96078,0.98773,0.8523,0.60375,0.28324,0.00281,0.0010232,0.0010232,0.0010232
76,141.732,0.68343,0.2774,0.00247,0.9591,0.91953,0.98549,0.84204,0.67297,0.29245,0.00325,0.00101,0.00101,0.00101
77,143.581,0.68914,0.27739,0.00248,0.98031,0.97629,0.99215,0.86705,0.5696,0.2349,0.00275,0.0009968,0.0009968,0.0009968
78,145.384,0.71333,0.28228,0.00249,0.97674,1,0.99442,0.83382,0.73078,0.2344,0.00364,0.0009836,0.0009836,0.0009836
79,147.159,0.68147,0.27833,0.00264,1,0.99676,0.995,0.80306,0.80697,0.24328,0.00408,0.0009704,0.0009704,0.0009704
80,148.895,0.75712,0.29623,0.00279,0.99801,0.98039,0.99481,0.86681,0.59773,0.18402,0.00294,0.0009572,0.0009572,0.0009572
81,150.649,0.72293,0.27747,0.00282,1,0.97859,0.99462,0.84732,0.68847,0.21613,0.00335,0.000944,0.000944,0.000944
82,152.398,0.66713,0.2811,0.0024,0.98073,0.99808,0.99404,0.87352,0.59928,0.20439,0.00284,0.0009308,0.0009308,0.0009308
83,154.25,0.71054,0.29579,0.00273,0.97868,0.98039,0.99405,0.83422,0.67892,0.22399,0.00341,0.0009176,0.0009176,0.0009176
84,156.013,0.67516,0.27864,0.0025,0.97462,0.98039,0.99462,0.85965,0.60269,0.22959,0.00284,0.0009044,0.0009044,0.0009044
85,157.764,0.66857,0.27749,0.00243,0.98,0.96066,0.99242,0.85833,0.5969,0.23874,0.00282,0.0008912,0.0008912,0.0008912
86,159.624,0.70358,0.28653,0.00257,1,0.95612,0.99251,0.86084,0.5945,0.23814,0.00273,0.000878,0.000878,0.000878
87,161.386,0.68197,0.26966,0.00239,0.97946,0.93518,0.9916,0.86311,0.60747,0.2352,0.00287,0.0008648,0.0008648,0.0008648
88,163.25,0.68991,0.26984,0.00242,0.99871,0.98039,0.99427,0.85674,0.62143,0.2091,0.00291,0.0008516,0.0008516,0.0008516
89,164.96,0.71523,0.27658,0.00248,0.98036,0.97871,0.9927,0.82562,0.7336,0.25215,0.00375,0.0008384,0.0008384,0.0008384
90,166.751,0.7257,0.28063,0.00268,0.97805,0.98039,0.99345,0.83539,0.69181,0.22381,0.00337,0.0008252,0.0008252,0.0008252
91,168.496,0.65807,0.2653,0.0024,1,0.99493,0.995,0.87883,0.57533,0.20453,0.00269,0.000812,0.000812,0.000812
92,170.251,0.6656,0.26097,0.0024,0.95794,1,0.99423,0.85475,0.66603,0.22045,0.00334,0.0007988,0.0007988,0.0007988
93,172.066,0.7234,0.26249,0.00269,0.9542,0.98039,0.99216,0.88477,0.53955,0.22182,0.00248,0.0007856,0.0007856,0.0007856
94,173.859,0.66941,0.25877,0.00245,0.9983,1,0.995,0.83185,0.71684,0.21494,0.00348,0.0007724,0.0007724,0.0007724
95,175.661,0.64866,0.25673,0.00229,0.98075,0.9988,0.99404,0.84946,0.63519,0.20932,0.00308,0.0007592,0.0007592,0.0007592
96,177.444,0.66862,0.26919,0.00238,1,0.95809,0.99387,0.81849,0.75958,0.2424,0.00384,0.000746,0.000746,0.000746
97,179.259,0.67955,0.25738,0.00257,0.99879,1,0.995,0.86877,0.57562,0.16542,0.00269,0.0007328,0.0007328,0.0007328
