epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
105,1186.44,0.17002,0.2515,0.03985,0.99887,1,0.995,0.90054,0.13392,0.22373,0.03578,0.0006272,0.0006272,0.0006272
106,1197.69,0.17707,0.26125,0.03835,0.9987,1,0.995,0.90683,0.13298,0.22158,0.03463,0.000614,0.000614,0.000614
107,1208.92,0.16455,0.2459,0.03924,0.99846,1,0.995,0.90928,0.13107,0.22109,0.03505,0.0006008,0.0006008,0.0006008
108,1220.03,0.17691,0.26093,0.03776,0.99842,1,0.995,0.89534,0.13847,0.22785,0.03745,0.0005876,0.0005876,0.0005876
109,1231.27,0.17675,0.25161,0.04132,0.99827,1,0.995,0.89925,0.13926,0.22533,0.03622,0.0005744,0.0005744,0.0005744
110,1242.43,0.16215,0.25266,0.03618,0.99854,1,0.995,0.89055,0.14709,0.23684,0.03685,0.0005612,0.0005612,0.0005612
111,1253.47,0.16585,0.2513,0.03521,0.99863,1,0.995,0.90222,0.14114,0.22947,0.03679,0.000548,0.000548,0.000548
112,1264.71,0.17186,0.2524,0.04078,0.99855,1,0.995,0.88703,0.14189,0.23098,0.03777,0.0005348,0.0005348,0.0005348
113,1275.98,0.17224,0.25134,0.03828,0.99847,1,0.995,0.89509,0.13999,0.22987,0.03645,0.0005216,0.0005216,0.0005216
114,1287.05,0.17227,0.25186,0.04264,0.99844,1,0.995,0.90471,0.13472,0.22508,0.0358,0.0005084,0.0005084,0.0005084
115,1298.27,0.17987,0.26215,0.03911,0.99877,1,0.995,0.88493,0.14238,0.22914,0.03631,0.0004952,0.0004952,0.0004952
116,1309.37,0.17444,0.25767,0.03885,0.99876,1,0.995,0.88497,0.14738,0.23844,0.04081,0.000482,0.000482,0.000482
117,1320.48,0.1829,0.26595,0.03886,0.99855,1,0.995,0.88602,0.1509,0.23971,0.03877,0.0004688,0.0004688,0.0004688
118,1331.72,0.16525,0.25102,0.03443,0.99866,1,0.995,0.89861,0.13771,0.22595,0.03498,0.0004556,0.0004556,0.0004556
119,1342.89,0.16528,0.24743,0.03326,0.9987,1,0.995,0.90244,0.13416,0.22325,0.03355,0.0004424,0.0004424,0.0004424
120,1354.02,0.1631,0.24994,0.03822,0.99868,1,0.995,0.88918,0.13978,0.22792,0.03532,0.0004292,0.0004292,0.0004292
121,1365.2,0.16171,0.24439,0.03682,0.99868,1,0.995,0.89315,0.14159,0.22847,0.03556,0.000416,0.000416,0.000416
