epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,221.903,0.6741,0.33853,0.00259,0.97534,0.98039,0.99366,0.87996,0.67068,0.21791,0.00267,0.001274,0.001274,0.001274
57,225.679,0.68086,0.33091,0.00256,0.99772,1,0.995,0.87112,0.69394,0.24465,0.00288,0.0012608,0.0012608,0.0012608
58,229.64,0.68696,0.32505,0.00239,0.97995,0.98039,0.99405,0.84906,0.71362,0.26215,0.00296,0.0012476,0.0012476,0.0012476
59,233.476,0.68698,0.31371,0.00249,1,0.96032,0.99314,0.87638,0.54742,0.22954,0.00243,0.0012344,0.0012344,0.0012344
60,237.266,0.64475,0.30479,0.0023,0.95255,0.98039,0.99291,0.86435,0.60386,0.27277,0.00255,0.0012212,0.0012212,0.0012212
61,241.132,0.67103,0.31471,0.00253,0.98075,0.99901,0.99442,0.85594,0.70112,0.28484,0.00325,0.001208,0.001208,0.001208
62,244.996,0.66895,0.36931,0.0023,0.95639,0.98039,0.99233,0.875,0.64682,0.23029,0.0027,0.0011948,0.0011948,0.0011948
63,248.861,0.67267,0.34537,0.00262,0.93888,1,0.99092,0.86712,0.6624,0.24865,0.00273,0.0011816,0.0011816,0.0011816
64,252.707,0.68422,0.32161,0.00269,0.99664,0.98039,0.99427,0.84901,0.76632,0.27971,0.00331,0.0011684,0.0011684,0.0011684
65,256.548,0.65698,0.31153,0.00254,0.97961,0.9419,0.99202,0.87877,0.57954,0.29384,0.00232,0.0011552,0.0011552,0.0011552
66,260.344,0.63132,0.32319,0.00227,1,0.93109,0.99168,0.88097,0.5723,0.31445,0.00245,0.001142,0.001142,0.001142
67,264.302,0.61286,0.27898,0.00226,0.99587,0.96078,0.99318,0.86511,0.73808,0.3026,0.00302,0.0011288,0.0011288,0.0011288
68,268.041,0.61249,0.29609,0.00219,0.94899,0.96078,0.98984,0.86214,0.72564,0.37997,0.003,0.0011156,0.0011156,0.0011156
69,271.82,0.61259,0.28553,0.00224,0.94609,0.96078,0.98881,0.86862,0.65406,0.38562,0.00258,0.0011024,0.0011024,0.0011024
70,275.605,0.61923,0.28152,0.00223,0.95639,1,0.99028,0.87223,0.58306,0.29991,0.0025,0.0010892,0.0010892,0.0010892
71,279.516,0.66278,0.29176,0.00257,0.9776,1,0.99404,0.8577,0.64529,0.29175,0.0028,0.001076,0.001076,0.001076
72,283.28,0.6513,0.30955,0.00228,0.97428,0.96078,0.99218,0.85929,0.57774,0.26559,0.00246,0.0010628,0.0010628,0.0010628
73,287.14,0.66043,0.3049,0.00226,0.97958,1,0.99481,0.88378,0.5824,0.18456,0.00247,0.0010496,0.0010496,0.0010496
74,291.094,0.60054,0.29326,0.00216,0.99607,1,0.995,0.88527,0.61144,0.20346,0.00251,0.0010364,0.0010364,0.0010364
