epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
62,1538.87,0.2178,0.3202,0.04554,0.99872,0.92857,0.93463,0.81928,nan,nan,nan,0.0011948,0.0011948,0.0011948
63,1563.45,0.20547,0.30096,0.04652,0.99896,1,0.995,0.8922,0.13195,0.22507,0.03993,0.0011816,0.0011816,0.0011816
64,1588.1,0.211,0.30193,0.04676,0.99827,0.99107,0.995,0.8856,0.14341,0.24214,0.04381,0.0011684,0.0011684,0.0011684
65,1613.01,0.19072,0.28597,0.04599,0.99756,1,0.995,0.8823,0.14617,0.24716,0.04422,0.0011552,0.0011552,0.0011552
66,1637.56,0.20761,0.32318,0.04774,0.96668,0.9375,0.92093,0.82581,nan,nan,nan,0.001142,0.001142,0.001142
67,1662.12,0.20612,0.33627,0.04589,0.99777,1,0.995,0.88027,0.1472,0.24494,0.04668,0.0011288,0.0011288,0.0011288
68,1686.59,0.22157,0.33195,0.05167,0.98049,0.50893,0.50431,0.44538,nan,nan,nan,0.0011156,0.0011156,0.0011156
69,1711.15,0.2024,0.3073,0.04619,0.9821,1,0.99217,0.87354,0.14724,0.25625,0.0438,0.0011024,0.0011024,0.0011024
70,1735.69,0.20544,0.31182,0.04699,0.97017,0.92857,0.91864,0.80596,nan,nan,nan,0.0010892,0.0010892,0.0010892
71,1760.19,0.19003,0.30768,0.04236,0.98913,0.94643,0.9656,0.86298,0.14906,0.35513,0.04825,0.001076,0.001076,0.001076
72,1784.67,0.19137,0.36936,0.04236,0.90285,1,0.9508,0.85033,0.14635,0.3189,0.04571,0.0010628,0.0010628,0.0010628
73,1809.43,0.1959,0.34647,0.04335,0.97097,0.94643,0.94313,0.84714,nan,nan,nan,0.0010496,0.0010496,0.0010496
74,1833.79,0.18409,0.30172,0.04133,0.97989,0.72321,0.72488,0.64295,nan,nan,nan,0.0010364,0.0010364,0.0010364
75,1858.26,0.18745,0.29227,0.04225,0.96324,1,0.9679,0.86905,0.13655,0.25464,0.04079,0.0010232,0.0010232,0.0010232
76,1882.87,0.19425,0.30307,0.04341,0.97233,1,0.97949,0.87883,0.14028,0.25849,0.04122,0.00101,0.00101,0.00101
77,1907.4,0.19364,0.29099,0.0405,0.98006,1,0.97956,0.8775,0.13652,0.24246,0.04131,0.0009968,0.0009968,0.0009968
78,1931.87,0.17539,0.27533,0.03866,1,0.34815,0.35145,0.30765,nan,nan,nan,0.0009836,0.0009836,0.0009836
79,1956.35,0.18815,0.27688,0.04028,0.98013,0.99107,0.98227,0.87262,nan,nan,nan,0.0009704,0.0009704,0.0009704
80,1980.82,0.18131,0.28088,0.04072,0.98938,1,0.99491,0.89367,0.13456,0.23702,0.04003,0.0009572,0.0009572,0.0009572
81,2005.3,0.18517,0.29014,0.03873,0.9987,1,0.995,0.90124,0.13413,0.2261,0.0422,0.000944,0.000944,0.000944
82,2030.26,0.19213,0.28525,0.04184,0.99835,1,0.995,0.89747,0.13499,0.23071,0.04096,0.0009308,0.0009308,0.0009308
83,2054.88,0.18304,0.27395,0.04012,0.97546,0.95536,0.95204,0.85776,nan,nan,nan,0.0009176,0.0009176,0.0009176
84,2079.46,0.18596,0.28294,0.04074,0.99526,1,0.995,0.89751,0.13338,0.23139,0.04038,0.0009044,0.0009044,0.0009044
85,2103.89,0.1727,0.27982,0.03668,0.98766,0.98214,0.98266,0.8804,nan,nan,nan,0.0008912,0.0008912,0.0008912
86,2128.35,0.19059,0.29369,0.04331,0.99709,0.52679,0.525,0.46482,nan,nan,nan,0.000878,0.000878,0.000878
87,2152.77,0.181,0.29641,0.04212,0.97563,0.4375,0.4336,0.3809,nan,nan,nan,0.0008648,0.0008648,0.0008648
88,2177.58,0.1773,0.28407,0.03821,0.9944,1,0.995,0.89477,0.12869,0.22374,0.03866,0.0008516,0.0008516,0.0008516
89,2202.12,0.1767,0.28539,0.0379,0.99874,0.83036,0.835,0.75557,nan,nan,nan,0.0008384,0.0008384,0.0008384
90,2226.75,0.17051,0.28109,0.03711,0.99749,0.94643,0.945,0.85403,nan,nan,nan,0.0008252,0.0008252,0.0008252
91,2251.14,0.17668,0.28587,0.03756,0.98584,0.99107,0.99429,0.90675,0.1238,0.24765,0.03684,0.000812,0.000812,0.000812
92,2276.17,0.17523,0.2895,0.03902,0.95663,1,0.97533,0.88041,0.1319,0.24802,0.04006,0.0007988,0.0007988,0.0007988
93,2300.7,0.17149,0.26906,0.03839,0.9989,1,0.995,0.90132,0.12477,0.21697,0.03757,0.0007856,0.0007856,0.0007856
94,2325.41,0.17042,0.2783,0.03879,0.99904,1,0.995,0.90869,0.12183,0.21578,0.03662,0.0007724,0.0007724,0.0007724
95,2350.43,0.17529,0.27387,0.0393,0.99877,1,0.995,0.90264,0.12226,0.2092,0.03608,0.0007592,0.0007592,0.0007592
96,2374.8,0.1768,0.27704,0.03966,0.99787,0.99107,0.995,0.88671,nan,nan,nan,0.000746,0.000746,0.000746
97,2399.53,0.17874,0.272,0.04149,0.999,1,0.995,0.91479,0.12181,0.2092,0.03564,0.0007328,0.0007328,0.0007328
98,2424.48,0.17252,0.26848,0.039,0.99749,1,0.995,0.91428,0.11625,0.20786,0.03512,0.0007196,0.0007196,0.0007196
99,2449.2,0.16994,0.26443,0.03607,0.99832,1,0.995,0.91178,0.1195,0.21057,0.03482,0.0007064,0.0007064,0.0007064
100,2473.91,0.17602,0.273,0.04007,0.99876,1,0.995,0.91932,0.11565,0.20473,0.03501,0.0006932,0.0006932,0.0006932
101,2498.73,0.15677,0.25278,0.03475,0.98151,1,0.995,0.91029,0.11858,0.21709,0.03625,0.00068,0.00068,0.00068
102,2523.4,0.16056,0.25952,0.03579,0.99032,1,0.98748,0.89763,0.12434,0.22145,0.0372,0.0006668,0.0006668,0.0006668
103,2548.04,0.16776,0.25994,0.03602,0.98971,1,0.98783,0.89267,0.12701,0.22257,0.03677,0.0006536,0.0006536,0.0006536
104,2572.66,0.17325,0.25942,0.0385,0.9981,1,0.995,0.91264,0.12065,0.21122,0.03582,0.0006404,0.0006404,0.0006404
105,2597.39,0.15729,0.24356,0.03342,0.99903,1,0.995,0.91536,0.11287,0.20248,0.0332,0.0006272,0.0006272,0.0006272
106,2621.8,0.16088,0.25478,0.03376,0.99854,0.96429,0.965,0.86874,nan,nan,nan,0.000614,0.000614,0.000614
107,2646.4,0.17214,0.26354,0.03682,0.98941,1,0.99226,0.90797,0.1178,0.21218,0.03544,0.0006008,0.0006008,0.0006008
108,2671.03,0.16079,0.25183,0.03553,0.98829,1,0.98916,0.90711,0.12062,0.21931,0.03607,0.0005876,0.0005876,0.0005876
109,2695.53,0.17572,0.25868,0.03921,0.99837,0.98214,0.985,0.89123,nan,nan,nan,0.0005744,0.0005744,0.0005744
110,2720.27,0.15965,0.24748,0.03402,0.99895,1,0.995,0.91399,0.1173,0.20836,0.03567,0.0005612,0.0005612,0.0005612
111,2744.75,0.17022,0.25003,0.03884,0.97933,1,0.98009,0.90664,0.11275,0.2171,0.03413,0.000548,0.000548,0.000548
112,2769.21,0.16084,0.25301,0.03565,0.9989,0.97321,0.975,0.88676,nan,nan,nan,0.0005348,0.0005348,0.0005348
113,2793.64,0.16338,0.24086,0.03832,0.99902,0.96429,0.965,0.88711,nan,nan,nan,0.0005216,0.0005216,0.0005216
114,2818.05,0.16263,0.24957,0.03433,0.99814,1,0.995,0.90789,0.12218,0.21194,0.03578,0.0005084,0.0005084,0.0005084
115,2842.69,0.15315,0.24192,0.03357,0.99752,1,0.995,0.92389,0.11607,0.20704,0.03379,0.0004952,0.0004952,0.0004952
116,2867.7,0.15141,0.24365,0.03273,0.99584,1,0.995,0.92828,0.11158,0.20472,0.03325,0.000482,0.000482,0.000482
117,2892.75,0.15147,0.24823,0.03306,0.99871,1,0.995,0.91412,0.1155,0.20642,0.03428,0.0004688,0.0004688,0.0004688
118,2917.22,0.15165,0.23812,0.03428,0.99846,0.99107,0.995,0.91538,nan,nan,nan,0.0004556,0.0004556,0.0004556
119,2941.65,0.15342,0.23525,0.03358,0.99814,1,0.995,0.92745,0.10789,0.1951,0.0328,0.0004424,0.0004424,0.0004424
120,2966.13,0.15044,0.23804,0.03258,0.99858,1,0.995,0.91207,0.10942,0.19724,0.03177,0.0004292,0.0004292,0.0004292
121,2990.62,0.14447,0.2341,0.03096,0.99838,1,0.995,0.92329,0.10781,0.19712,0.0324,0.000416,0.000416,0.000416
122,3014.95,0.15366,0.24287,0.03458,0.99631,1,0.995,0.92197,0.10829,0.20228,0.03312,0.0004028,0.0004028,0.0004028
123,3039.57,0.14996,0.24239,0.03236,0.99056,1,0.995,0.92395,0.11238,0.20276,0.03433,0.0003896,0.0003896,0.0003896
